ESTATURA,PESO,PESO BAJO,PESO NORMAL,SOBRE PESO 1,SOBRE PESO 2,PESO
158,51,1,0,0,0,8
153,94,0,0,0,1,1
177,97,0,0,1,0,2
194,83,1,0,0,0,8
154,117,0,0,0,1,1
189,57,1,0,0,0,8
161,50,1,0,0,0,8
170,52,1,0,0,0,8
157,89,0,0,0,1,1
182,68,1,0,0,0,8
175,78,0,1,0,0,4
172,83,0,1,0,0,4
171,50,1,0,0,0,8
191,103,0,1,0,0,4
164,101,0,0,0,1,1
197,94,0,1,0,0,4
181,51,1,0,0,0,8
187,90,0,1,0,0,4
185,58,1,0,0,0,8
165,88,0,0,1,0,2
173,50,1,0,0,0,8
153,77,0,0,1,0,2
158,115,0,0,0,1,1
166,82,0,1,0,0,4
177,65,1,0,0,0,8
175,91,0,1,0,0,4
188,102,0,1,0,0,4
166,100,0,0,0,1,1
154,98,0,0,0,1,1
153,96,0,0,0,1,1
193,92,0,1,0,0,4
200,102,0,1,0,0,4
175,69,1,0,0,0,8
154,71,0,1,0,0,4
151,83,0,0,0,1,1
193,103,0,1,0,0,4
156,77,0,0,1,0,2
191,116,0,0,1,0,2
158,46,1,0,0,0,8
192,117,0,0,1,0,2
161,81,0,0,1,0,2
187,115,0,0,1,0,2
166,91,0,0,1,0,2
162,114,0,0,0,1,1
155,110,0,0,0,1,1
154,77,0,0,1,0,2
155,117,0,0,0,1,1
170,87,0,0,1,0,2
181,97,0,1,0,0,4
170,43,1,0,0,0,8
166,49,1,0,0,0,8
186,59,1,0,0,0,8
191,75,1,0,0,0,8
174,95,0,0,1,0,2
185,76,1,0,0,0,8
194,83,1,0,0,0,8
177,110,0,0,0,1,1
164,105,0,0,0,1,1
188,120,0,0,1,0,2
193,45,1,0,0,0,8
151,61,0,1,0,0,4
168,72,0,1,0,0,4
193,82,1,0,0,0,8
199,77,1,0,0,0,8
184,41,1,0,0,0,8
170,116,0,0,0,1,1
173,80,0,1,0,0,4
196,113,0,1,0,0,4
168,78,0,1,0,0,4
167,98,0,0,0,1,1
155,114,0,0,0,1,1
182,92,0,1,0,0,4
173,57,1,0,0,0,8
174,117,0,0,0,1,1
168,86,0,0,1,0,2
150,71,0,0,1,0,2
159,65,0,1,0,0,4
195,99,0,1,0,0,4
179,77,0,1,0,0,4
156,59,0,1,0,0,4
154,87,0,0,0,1,1
187,90,0,1,0,0,4
170,75,0,1,0,0,4
181,55,1,0,0,0,8
185,81,1,0,0,0,8
166,57,1,0,0,0,8
161,102,0,0,0,1,1
162,77,0,1,0,0,4
185,86,0,1,0,0,4
197,94,0,1,0,0,4
173,119,0,0,0,1,1
184,115,0,0,1,0,2
191,75,1,0,0,0,8
188,67,1,0,0,0,8
180,116,0,0,0,1,1
158,86,0,0,1,0,2
171,80,0,1,0,0,4
153,105,0,0,0,1,1
165,82,0,0,1,0,2
184,102,0,0,1,0,2
173,120,0,0,0,1,1
185,59,1,0,0,0,8
180,90,0,1,0,0,4
153,75,0,0,1,0,2
174,96,0,0,1,0,2
171,77,0,1,0,0,4
163,77,0,1,0,0,4
152,54,1,0,0,0,8
174,56,1,0,0,0,8
158,43,1,0,0,0,8
173,106,0,0,0,1,1
159,103,0,0,0,1,1
197,61,1,0,0,0,8
170,45,1,0,0,0,8
163,89,0,0,1,0,2
174,86,0,1,0,0,4
199,81,1,0,0,0,8
151,103,0,0,0,1,1
169,58,1,0,0,0,8
192,73,1,0,0,0,8
152,89,0,0,0,1,1
164,71,0,1,0,0,4
176,95,0,0,1,0,2
195,65,1,0,0,0,8
200,55,1,0,0,0,8
187,97,0,1,0,0,4
173,96,0,0,1,0,2
166,95,0,0,1,0,2
193,114,0,0,1,0,2
163,79,0,1,0,0,4
174,54,1,0,0,0,8
178,65,1,0,0,0,8
198,107,0,1,0,0,4
168,75,0,1,0,0,4
183,86,0,1,0,0,4
156,101,0,0,0,1,1
186,100,0,1,0,0,4
197,79,1,0,0,0,8
196,111,0,1,0,0,4
157,115,0,0,0,1,1
165,93,0,0,1,0,2
150,48,1,0,0,0,8
198,110,0,1,0,0,4
153,53,1,0,0,0,8
155,90,0,0,0,1,1
155,41,1,0,0,0,8
157,99,0,0,0,1,1
188,44,1,0,0,0,8
163,102,0,0,0,1,1
173,50,1,0,0,0,8
168,86,0,0,1,0,2
154,66,0,1,0,0,4
189,99,0,1,0,0,4
180,49,1,0,0,0,8
170,104,0,0,0,1,1
183,120,0,0,0,1,1
192,84,1,0,0,0,8
177,62,1,0,0,0,8
163,100,0,0,0,1,1
154,61,0,1,0,0,4
152,74,0,0,1,0,2
186,78,1,0,0,0,8
161,45,1,0,0,0,8
181,61,1,0,0,0,8
198,101,0,1,0,0,4
174,98,0,0,1,0,2
199,72,1,0,0,0,8
179,61,1,0,0,0,8
160,108,0,0,0,1,1
153,65,0,1,0,0,4
180,90,0,1,0,0,4
172,70,1,0,0,0,8
167,97,0,0,1,0,2
167,109,0,0,0,1,1
199,63,1,0,0,0,8
188,40,1,0,0,0,8
168,103,0,0,0,1,1
191,105,0,1,0,0,4
197,86,1,0,0,0,8
187,110,0,0,1,0,2
193,75,1,0,0,0,8
185,60,1,0,0,0,8
162,113,0,0,0,1,1
194,79,1,0,0,0,8
150,51,1,0,0,0,8
195,70,1,0,0,0,8
178,73,1,0,0,0,8
164,74,0,1,0,0,4
183,58,1,0,0,0,8
171,97,0,0,1,0,2
193,102,0,1,0,0,4
186,53,1,0,0,0,8
162,105,0,0,0,1,1
171,45,1,0,0,0,8
193,44,1,0,0,0,8
193,100,0,1,0,0,4
154,120,0,0,0,1,1
187,94,0,1,0,0,4
180,87,0,1,0,0,4
192,78,1,0,0,0,8
163,83,0,0,1,0,2
192,102,0,1,0,0,4
182,94,0,1,0,0,4
183,83,0,1,0,0,4
163,75,0,1,0,0,4
188,77,1,0,0,0,8
158,88,0,0,0,1,1
196,110,0,1,0,0,4
193,107,0,1,0,0,4
174,80,0,1,0,0,4
182,116,0,0,0,1,1
154,87,0,0,0,1,1
153,101,0,0,0,1,1
187,41,1,0,0,0,8
174,40,1,0,0,0,8
174,44,1,0,0,0,8
192,95,0,1,0,0,4
187,106,0,0,1,0,2
188,90,0,1,0,0,4
164,70,0,1,0,0,4
178,109,0,0,1,0,2
161,73,0,1,0,0,4
150,53,1,0,0,0,8
174,120,0,0,0,1,1
189,94,0,1,0,0,4
167,119,0,0,0,1,1
184,72,1,0,0,0,8
159,66,0,1,0,0,4
185,52,1,0,0,0,8
182,55,1,0,0,0,8
153,91,0,0,0,1,1
188,66,1,0,0,0,8
184,83,0,1,0,0,4
155,100,0,0,0,1,1
182,55,1,0,0,0,8
160,69,0,1,0,0,4
188,91,0,1,0,0,4
195,48,1,0,0,0,8
199,85,1,0,0,0,8
169,79,0,1,0,0,4
162,106,0,0,0,1,1
190,50,1,0,0,0,8
199,98,0,1,0,0,4
170,76,0,1,0,0,4
190,112,0,0,1,0,2
191,106,0,1,0,0,4
180,69,1,0,0,0,8
175,51,1,0,0,0,8
166,87,0,0,1,0,2
164,49,1,0,0,0,8
181,76,1,0,0,0,8
163,106,0,0,0,1,1
177,116,0,0,0,1,1
173,113,0,0,0,1,1
180,64,1,0,0,0,8
169,95,0,0,1,0,2
156,53,1,0,0,0,8
161,79,0,0,1,0,2
164,67,0,1,0,0,4
153,109,0,0,0,1,1
185,120,0,0,0,1,1
183,98,0,1,0,0,4
195,102,0,1,0,0,4
158,74,0,1,0,0,4
174,94,0,0,1,0,2
174,55,1,0,0,0,8
167,50,1,0,0,0,8
170,115,0,0,0,1,1
161,68,0,1,0,0,4
186,66,1,0,0,0,8
194,71,1,0,0,0,8
151,42,1,0,0,0,8
150,75,0,0,1,0,2
197,74,1,0,0,0,8
199,59,1,0,0,0,8
154,58,0,1,0,0,4
175,109,0,0,0,1,1
184,57,1,0,0,0,8
164,83,0,0,1,0,2
163,118,0,0,0,1,1
170,44,1,0,0,0,8
186,42,1,0,0,0,8
195,86,1,0,0,0,8
164,75,0,1,0,0,4
150,52,1,0,0,0,8
190,45,1,0,0,0,8
180,69,1,0,0,0,8
167,68,0,1,0,0,4
196,44,1,0,0,0,8
185,52,1,0,0,0,8
171,101,0,0,1,0,2
195,50,1,0,0,0,8
156,93,0,0,0,1,1
157,77,0,0,1,0,2
196,81,1,0,0,0,8
186,53,1,0,0,0,8
163,52,1,0,0,0,8
178,55,1,0,0,0,8
158,78,0,0,1,0,2
180,114,0,0,0,1,1
153,103,0,0,0,1,1
185,65,1,0,0,0,8
195,114,0,1,0,0,4
183,68,1,0,0,0,8
154,109,0,0,0,1,1
180,112,0,0,1,0,2
179,82,0,1,0,0,4
189,42,1,0,0,0,8
151,64,0,1,0,0,4
151,107,0,0,0,1,1
166,66,1,0,0,0,8
171,104,0,0,0,1,1
197,93,1,0,0,0,8
180,98,0,0,1,0,2
189,47,1,0,0,0,8
187,120,0,0,1,0,2
169,40,1,0,0,0,8
190,116,0,0,1,0,2
165,58,1,0,0,0,8
167,119,0,0,0,1,1
178,44,1,0,0,0,8
170,82,0,1,0,0,4
181,42,1,0,0,0,8
175,120,0,0,0,1,1
190,91,0,1,0,0,4
175,52,1,0,0,0,8
180,57,1,0,0,0,8
175,120,0,0,0,1,1
160,81,0,0,1,0,2
180,108,0,0,1,0,2
162,114,0,0,0,1,1
187,55,1,0,0,0,8
176,76,0,1,0,0,4
185,91,0,1,0,0,4
182,51,1,0,0,0,8
179,79,0,1,0,0,4
185,89,0,1,0,0,4
170,50,1,0,0,0,8
166,115,0,0,0,1,1
189,118,0,0,1,0,2
182,59,1,0,0,0,8
197,108,0,1,0,0,4
190,75,1,0,0,0,8
169,62,1,0,0,0,8
165,44,1,0,0,0,8
195,57,1,0,0,0,8
190,46,1,0,0,0,8
168,100,0,0,0,1,1
159,43,1,0,0,0,8
160,105,0,0,0,1,1
155,69,0,1,0,0,4
197,96,0,1,0,0,4
194,113,0,0,1,0,2
176,58,1,0,0,0,8
159,78,0,0,1,0,2
182,108,0,0,1,0,2
179,49,1,0,0,0,8
167,77,0,1,0,0,4
180,83,0,1,0,0,4
183,111,0,0,1,0,2
192,86,1,0,0,0,8
165,117,0,0,0,1,1
181,54,1,0,0,0,8
181,101,0,0,1,0,2
188,41,1,0,0,0,8
176,75,0,1,0,0,4
154,46,1,0,0,0,8
181,76,1,0,0,0,8
164,101,0,0,0,1,1
189,40,1,0,0,0,8
195,110,0,1,0,0,4
165,118,0,0,0,1,1
174,50,1,0,0,0,8
166,60,1,0,0,0,8
178,86,0,1,0,0,4
164,62,1,0,0,0,8
156,65,0,1,0,0,4
175,84,0,1,0,0,4
151,56,0,1,0,0,4
160,78,0,0,1,0,2
160,93,0,0,0,1,1
196,46,1,0,0,0,8
192,108,0,1,0,0,4
185,42,1,0,0,0,8
193,115,0,0,1,0,2
180,55,1,0,0,0,8
160,80,0,0,1,0,2
173,42,1,0,0,0,8
199,79,1,0,0,0,8
180,73,1,0,0,0,8
157,62,0,1,0,0,4
157,53,1,0,0,0,8
179,63,1,0,0,0,8
152,118,0,0,0,1,1
160,68,0,1,0,0,4
151,50,1,0,0,0,8
174,100,0,0,1,0,2
152,114,0,0,0,1,1
195,64,1,0,0,0,8
190,64,1,0,0,0,8
164,49,1,0,0,0,8
159,55,1,0,0,0,8
160,111,0,0,0,1,1
157,60,0,1,0,0,4
189,98,0,1,0,0,4
184,117,0,0,1,0,2
170,72,0,1,0,0,4
157,66,0,1,0,0,4
167,67,0,1,0,0,4
196,79,1,0,0,0,8
170,117,0,0,0,1,1
198,64,1,0,0,0,8
171,107,0,0,0,1,1
153,48,1,0,0,0,8
193,55,1,0,0,0,8
163,106,0,0,0,1,1
153,97,0,0,0,1,1
161,76,0,1,0,0,4
179,71,1,0,0,0,8
168,49,1,0,0,0,8
161,54,1,0,0,0,8
161,41,1,0,0,0,8
165,54,1,0,0,0,8
181,60,1,0,0,0,8
191,44,1,0,0,0,8
154,97,0,0,0,1,1
194,107,0,1,0,0,4
189,55,1,0,0,0,8
157,52,1,0,0,0,8
179,110,0,0,1,0,2
175,95,0,0,1,0,2
171,62,1,0,0,0,8
185,70,1,0,0,0,8
197,67,1,0,0,0,8
183,81,0,1,0,0,4
154,64,0,1,0,0,4
175,92,0,0,1,0,2
191,52,1,0,0,0,8
191,111,0,0,1,0,2
182,81,0,1,0,0,4
190,54,1,0,0,0,8
184,61,1,0,0,0,8
172,68,1,0,0,0,8
171,94,0,0,1,0,2
181,69,1,0,0,0,8
185,82,1,0,0,0,8
150,64,0,1,0,0,4
156,64,0,1,0,0,4
171,85,0,1,0,0,4
152,69,0,1,0,0,4
192,85,1,0,0,0,8
180,102,0,0,1,0,2
171,104,0,0,0,1,1
172,83,0,1,0,0,4
181,78,1,0,0,0,8
177,88,0,1,0,0,4
178,45,1,0,0,0,8
186,88,0,1,0,0,4
165,95,0,0,1,0,2
160,52,1,0,0,0,8
170,115,0,0,0,1,1
190,91,0,1,0,0,4
183,58,1,0,0,0,8
178,84,0,1,0,0,4
189,56,1,0,0,0,8
182,49,1,0,0,0,8
173,42,1,0,0,0,8
177,91,0,1,0,0,4
185,108,0,0,1,0,2
176,88,0,1,0,0,4
172,99,0,0,1,0,2
152,65,0,1,0,0,4
151,106,0,0,0,1,1
152,118,0,0,0,1,1
185,112,0,0,1,0,2
151,54,1,0,0,0,8
170,79,0,1,0,0,4
200,61,1,0,0,0,8
195,108,0,1,0,0,4
166,99,0,0,0,1,1
167,94,0,0,1,0,2
158,69,0,1,0,0,4
197,80,1,0,0,0,8
190,47,1,0,0,0,8
166,98,0,0,0,1,1
182,104,0,0,1,0,2
158,97,0,0,0,1,1
182,83,0,1,0,0,4
198,118,0,0,1,0,2
196,100,0,1,0,0,4
165,42,1,0,0,0,8
165,96,0,0,0,1,1
188,60,1,0,0,0,8
150,59,0,1,0,0,4
151,113,0,0,0,1,1
193,40,1,0,0,0,8
164,119,0,0,0,1,1
151,86,0,0,0,1,1
181,109,0,0,1,0,2
164,99,0,0,0,1,1
150,69,0,0,1,0,2
177,74,1,0,0,0,8
195,119,0,0,1,0,2
167,102,0,0,0,1,1
150,60,0,1,0,0,4
175,57,1,0,0,0,8
200,65,1,0,0,0,8
174,59,1,0,0,0,8
194,117,0,0,1,0,2
188,108,0,0,1,0,2
183,59,1,0,0,0,8
198,111,0,1,0,0,4
175,117,0,0,0,1,1
190,54,1,0,0,0,8
183,46,1,0,0,0,8
190,91,0,1,0,0,4
153,52,1,0,0,0,8
190,64,1,0,0,0,8
152,103,0,0,0,1,1
174,70,1,0,0,0,8
183,85,0,1,0,0,4
174,67,1,0,0,0,8
184,80,1,0,0,0,8
197,109,0,1,0,0,4
159,66,0,1,0,0,4
192,102,0,1,0,0,4
156,73,0,1,0,0,4
181,59,1,0,0,0,8
198,74,1,0,0,0,8
155,97,0,0,0,1,1
172,57,1,0,0,0,8
190,40,1,0,0,0,8
186,64,1,0,0,0,8
184,42,1,0,0,0,8
167,75,0,1,0,0,4
168,72,0,1,0,0,4
179,99,0,0,1,0,2
191,77,1,0,0,0,8
196,108,0,1,0,0,4
174,89,0,1,0,0,4
177,66,1,0,0,0,8
178,69,1,0,0,0,8
185,115,0,0,1,0,2
180,93,0,1,0,0,4
177,87,0,1,0,0,4
164,92,0,0,1,0,2
170,62,1,0,0,0,8
199,116,0,1,0,0,4
167,82,0,1,0,0,4
170,91,0,0,1,0,2
190,114,0,0,1,0,2
186,70,1,0,0,0,8
186,120,0,0,1,0,2
172,116,0,0,0,1,1
171,108,0,0,0,1,1
199,120,0,0,1,0,2
162,108,0,0,0,1,1
168,79,0,1,0,0,4
169,104,0,0,0,1,1
195,40,1,0,0,0,8
157,78,0,0,1,0,2
196,76,1,0,0,0,8
169,50,1,0,0,0,8
182,67,1,0,0,0,8
168,113,0,0,0,1,1
179,75,1,0,0,0,8
165,93,0,0,1,0,2
195,65,1,0,0,0,8
183,68,1,0,0,0,8
177,43,1,0,0,0,8
197,105,0,1,0,0,4
186,56,1,0,0,0,8
160,118,0,0,0,1,1
160,102,0,0,0,1,1
190,92,0,1,0,0,4
189,108,0,0,1,0,2
152,97,0,0,0,1,1
183,110,0,0,1,0,2
176,64,1,0,0,0,8
198,54,1,0,0,0,8
156,85,0,0,1,0,2
187,88,0,1,0,0,4
168,63,1,0,0,0,8
152,96,0,0,0,1,1
190,77,1,0,0,0,8
167,79,0,1,0,0,4
162,55,1,0,0,0,8
200,90,1,0,0,0,8
155,61,0,1,0,0,4
160,90,0,0,0,1,1
152,75,0,0,1,0,2
176,63,1,0,0,0,8
167,65,1,0,0,0,8
183,55,1,0,0,0,8
176,79,0,1,0,0,4
194,105,0,1,0,0,4
198,49,1,0,0,0,8
197,81,1,0,0,0,8
185,62,1,0,0,0,8
158,86,0,0,1,0,2
180,67,1,0,0,0,8
170,72,0,1,0,0,4
183,103,0,0,1,0,2
188,91,0,1,0,0,4
192,105,0,1,0,0,4
155,106,0,0,0,1,1
185,54,1,0,0,0,8
152,110,0,0,0,1,1
174,40,1,0,0,0,8
170,93,0,0,1,0,2
195,110,0,1,0,0,4
161,53,1,0,0,0,8
200,85,1,0,0,0,8
150,99,0,0,0,1,1
156,82,0,0,1,0,2
165,70,0,1,0,0,4
183,75,1,0,0,0,8
200,80,1,0,0,0,8
194,73,1,0,0,0,8
194,118,0,0,1,0,2
151,93,0,0,0,1,1
183,63,1,0,0,0,8
155,54,1,0,0,0,8
151,110,0,0,0,1,1
182,63,1,0,0,0,8
160,100,0,0,0,1,1
174,62,1,0,0,0,8
158,111,0,0,0,1,1
186,60,1,0,0,0,8
167,88,0,0,1,0,2
181,112,0,0,1,0,2
151,58,0,1,0,0,4
195,47,1,0,0,0,8
176,58,1,0,0,0,8
165,62,1,0,0,0,8
173,102,0,0,1,0,2
189,59,1,0,0,0,8
152,42,1,0,0,0,8
165,116,0,0,0,1,1
160,55,1,0,0,0,8
157,86,0,0,1,0,2
151,95,0,0,0,1,1
195,92,0,1,0,0,4
160,68,0,1,0,0,4
177,78,0,1,0,0,4
166,44,1,0,0,0,8
194,119,0,0,1,0,2
152,81,0,0,0,1,1
194,67,1,0,0,0,8
152,119,0,0,0,1,1
174,87,0,1,0,0,4
182,67,1,0,0,0,8
166,118,0,0,0,1,1
196,97,0,1,0,0,4
162,96,0,0,0,1,1
154,40,1,0,0,0,8
173,84,0,1,0,0,4
190,84,1,0,0,0,8
164,72,0,1,0,0,4
170,61,1,0,0,0,8
186,53,1,0,0,0,8
168,43,1,0,0,0,8
172,44,1,0,0,0,8
183,40,1,0,0,0,8
197,90,1,0,0,0,8
188,55,1,0,0,0,8
